scenario_name,mean,std,median,p5,p95,cvar_5,downside_prob_vs_deterministic,n
deterministic,1465.3869105889366,0.0,1465.3869105889366,1465.3869105889366,1465.3869105889366,1465.3869105889366,0.0,1
dist_30,1100.0966719879382,354.2366632345331,1162.1792129195708,436.3082102171667,1465.3869105889366,278.2734969903802,0.689,1000
dist_20,954.918593285006,388.2495607929649,967.1607503635946,296.5962152083219,1465.3869105889366,176.9144688280317,0.808,1000
dist_10,544.8030740410334,401.6182615221229,517.9357313363039,-101.44324919653398,1258.2477412171377,-171.41707591033745,0.97,1000
noise_025,1390.3971582674812,30.373704553982268,1391.1741282427506,1341.814145823719,1439.0061480664165,1328.3070085491718,0.988,1000
n025_d30,1045.5559030878294,339.7347193103976,1097.7266715178725,413.1094551529563,1424.1345066334823,254.6479714640343,0.997,1000
n025_d20,882.3078807442315,376.1389484210861,907.4986594086591,231.33983399712454,1406.50674019874,117.17434283914704,0.997,1000
n025_d10,505.1794351889757,406.3734832906763,463.7425682385822,-110.31911439758287,1256.8364108945157,-183.4147494964297,1.0,1000
noise_050,1391.9053323661778,46.789761753918924,1391.670592135265,1314.0129478364336,1471.8500221256338,1303.0510636332876,0.939,1000
n050_d30,1026.3043786740193,350.8234437891784,1084.6737786326419,353.80677604338075,1440.0254432627864,236.05546239558004,0.974,1000
n050_d20,884.8694151539561,391.231708017166,886.670618229391,173.36384398728762,1426.9967906001714,23.45063836704639,0.983,1000
n050_d10,482.00169803446903,398.1908320817188,456.5059832061877,-147.25198564358305,1205.0397128060843,-194.7417764847768,0.998,1000
noise_100,1407.3409448264458,79.12637496695241,1396.761089986838,1295.7668097510395,1552.9734171921507,1275.6855232436856,0.8,1000
n100_d30,1040.8214897154128,356.64410196808814,1082.9673106655505,387.40032928222155,1493.371277136613,224.76311429155732,0.937,1000
n100_d20,860.1819933946572,398.5708234571391,876.6310874374252,172.5863908353802,1449.087158215148,50.16687168551235,0.963,1000
n100_d10,477.8604792391713,409.9555754246237,448.78770709087803,-146.09688897887463,1221.126533207021,-189.59940445117817,0.993,1000
