scenario_name,mean,std,median,p5,p95,cvar_5,downside_prob_vs_deterministic,n
deterministic,1199.726499416337,0.0,1199.726499416337,1199.726499416337,1199.726499416337,1199.726499416337,0.0,1
dist_30,900.6598324078244,290.01699747439983,951.4874117785484,357.20977028522435,1199.726499416337,227.82521531493472,0.689,1000
dist_20,781.8011290198857,317.86368712879556,791.823901948366,242.82620271871085,1199.726499416337,144.84159429119825,0.808,1000
dist_10,446.03556928717336,328.80877228797135,424.0390148080497,-83.05257360260177,1030.1396491676471,-140.34082530424803,0.97,1000
noise_025,1138.3316606917572,24.867246988175957,1138.9677735584996,1098.5562764372125,1178.128312859343,1087.4978519334643,0.988,1000
n025_d30,856.0067750649655,278.144115102438,898.7194899992628,338.21672414642927,1165.9527555454467,208.48276805286466,0.997,1000
n025_d20,722.3540332752823,307.94861112960916,742.9779684873822,189.40016947836804,1151.5207319177875,95.93177278983738,0.997,1000
n025_d10,413.5953112293126,332.7019185451889,379.67054571247274,-90.31933066860147,1028.98417932194,-150.16343722235052,1.0,1000
noise_050,1139.5664174777398,38.307232493971874,1139.374233370273,1075.7951655661855,1205.0179116182808,1066.82056447823,0.939,1000
n050_d30,840.2453650056071,287.22256155626445,888.0329597898722,289.6650446548009,1178.9628197387046,193.26090025885074,0.974,1000
n050_d20,724.4511863809274,320.30520003175786,725.9258488368389,141.9346632410126,1168.2961352350549,19.199265445784455,0.983,1000
n050_d10,394.6194726573734,326.0027025088439,373.7458832455792,-120.55663114752429,986.5777194102819,-159.43698425578384,0.998,1000
noise_100,1152.203703350494,64.78153187027861,1143.5418734137475,1060.8568750608752,1271.4344232444191,1044.4161307146862,0.8,1000
n100_d30,852.1306648438111,291.9879909529798,886.6358578874799,317.1684130409653,1222.6375721671739,184.01574516490703,0.937,1000
n100_d20,704.2393543569913,326.3138051393828,717.7063874469545,141.29815479286273,1186.381733801569,41.072105202399705,0.963,1000
n100_d10,391.2290165991827,335.63461217401374,367.426855609644,-119.6109422867707,999.7481555503172,-155.22687431554542,0.993,1000
