scenario_name,mean,std,median,p5,p95,cvar_5,downside_prob_vs_deterministic,n
deterministic,6552.879421120581,0.0,6552.879421120581,6552.879421120581,6552.879421120581,6552.879421120581,0.0,1
dist_30,5155.528825311909,1539.6264756460948,5432.835385034309,2217.994598124879,6788.728043361322,1575.3960231907329,0.629,1000
dist_20,4576.8204418689775,1676.861079700324,4682.464640500931,1660.8714841076767,6558.297970642792,1212.377026823096,0.758,1000
dist_10,2968.3564166325227,1732.51195505733,2842.5850594945996,184.41389530928774,6332.03060492044,-18.455119592808483,0.954,1000
noise_025,6242.767763323268,100.19922904626964,6242.544062399299,6082.577398730039,6406.228123398282,6034.20080456254,0.997,1000
n025_d30,4919.4287127292655,1470.9875557674748,5138.270256128153,2298.205462421412,6548.22140741131,1552.8173418259144,0.95,1000
n025_d20,4306.687540796166,1641.6791630802038,4363.773375493931,1459.1410006150709,6598.4637941428,940.0155781809927,0.948,1000
n025_d10,2797.068019794631,1747.2509692219787,2624.664797085934,131.9290754684349,6180.002625596356,-80.86204293081494,0.986,1000
noise_050,6268.674094472825,191.9405296975473,6250.09418608701,6020.3691121407355,6522.614344075924,5973.5990035859,0.961,1000
n050_d30,4878.535402669491,1529.2282977028144,5113.872358569906,1969.3146322722441,6623.4905760445645,1417.5957715043305,0.935,1000
n050_d20,4324.263608928257,1675.8615342242892,4346.641782241022,1286.043373244944,6494.4044648045965,637.2005387277347,0.958,1000
n050_d10,2702.3790165603777,1717.0500978314751,2615.3188638376146,58.007823486376466,5890.532978605725,-79.37308286958454,0.99,1000
noise_100,6430.251864932134,357.5708849476072,6355.530485020376,5974.497463108918,7151.597217535846,5885.141449565966,0.708,1000
n100_d30,4968.305125470943,1538.6561431516923,5201.178407635005,2153.706349626953,6981.6311629246475,1513.301691756531,0.865,1000
n100_d20,4269.405562262008,1727.9345153548102,4331.251943795841,1216.521036824008,6879.81481462298,729.9200897783916,0.91,1000
n100_d10,2717.3562774138622,1799.6805710693764,2573.730622574596,50.75015680157557,6103.648160381653,-73.17343289819648,0.982,1000
