scenario_name,mean,std,median,p5,p95,cvar_5,downside_prob_vs_deterministic,n
deterministic,1293.5760653033242,0.0,1293.5760653033242,1293.5760653033242,1293.5760653033242,1293.5760653033242,0.0,1
dist_30,889.928946658856,375.5949757495176,934.5676854448138,208.32081365213367,1293.5760653033242,75.32598451162427,0.689,1000
dist_20,736.7511883500221,403.51386458075746,727.0538812953046,89.51576319164343,1293.5760653033242,-7.634404811333295,0.808,1000
dist_10,334.76087428196007,373.5788507889376,275.0841142228496,-198.2320012224895,1046.096488953461,-226.2054099485908,0.97,1000
noise_025,1136.8799532680982,51.45331400723639,1137.503397065655,1054.593455536584,1217.8630768658884,1032.914960995493,0.996,1000
n025_d30,774.4546291431964,344.55845227482035,808.1159097339132,156.47215936404407,1191.082474537229,39.74738101229519,1.0,1000
n025_d20,611.5922195037355,367.6734474141862,607.1792126255218,11.770031330140535,1163.9301731123537,-58.180994265803655,0.999,1000
n025_d10,269.37450348692704,357.2458816430434,192.78393716043246,-202.06285283565884,986.1753188959776,-230.84401080926065,1.0,1000
noise_050,1139.635673384408,72.47012876772351,1138.4330692759795,1023.1697480236725,1260.907257171148,1002.3292980597475,0.976,1000
n050_d30,756.0310244913339,356.2637436612742,792.4819269283937,115.92455186697245,1216.955537649532,23.002855905974567,0.992,1000
n050_d20,616.6462296341749,383.4360932481901,587.9763380195975,-11.096487440939953,1196.556105817259,-113.57307778237708,0.996,1000
n050_d10,248.57624936933516,344.0194072333404,189.52242899513027,-217.62736026300058,918.4726688349112,-234.98064051477238,1.0,1000
noise_100,1161.8532552337692,119.82035253343503,1146.0783156047362,997.9708503954008,1390.5306854855041,966.6179905913799,0.863,1000
n100_d30,775.2417129074654,368.79308027525843,794.5136023746713,128.48188508985086,1291.796017731017,14.840311112142745,0.951,1000
n100_d20,599.5608074711668,394.10443743977345,578.9249642229485,-20.279466708126414,1235.33306476007,-104.67498350907127,0.971,1000
n100_d10,249.11803849200155,357.08392759785653,184.02060649819572,-216.67851830595103,957.6398952641647,-233.27959993571156,0.997,1000
