scenario_name,scenario_type,lambda_proc,p_dist,severity_mean,severity_kappa,rotation_length,discount_rate,terminal_value_mean,terminal_value_std,terminal_value_median,terminal_value_p5,terminal_value_p25,terminal_value_p75,terminal_value_p95,terminal_value_var_5,terminal_value_cvar_5,terminal_value_min,terminal_value_max,terminal_value_n,npv_mean,npv_std,npv_median,npv_p5,npv_p25,npv_p75,npv_p95,npv_var_5,npv_cvar_5,npv_min,npv_max,npv_n,lev_mean,lev_std,lev_median,lev_p5,lev_p25,lev_p75,lev_p95,lev_var_5,lev_cvar_5,lev_min,lev_max,lev_n,thin_revenue_mean,thin_revenue_std,thin_revenue_median,thin_revenue_p5,thin_revenue_p25,thin_revenue_p75,thin_revenue_p95,thin_revenue_var_5,thin_revenue_cvar_5,thin_revenue_min,thin_revenue_max,thin_revenue_n,disturbance_any_probability,disturbance_count_mean,disturbance_count_max,mean_disturbance_severity_conditional,max_disturbance_severity_mean,first_disturbance_year_mean,vol_pulp_mean,vol_cns_mean,vol_saw_mean,vol_total_mean,terminal_value_downside_prob_vs_deterministic,npv_downside_prob_vs_deterministic,lev_downside_prob_vs_deterministic
deterministic,deterministic,0.0,0.0,0.0,0.0,35,0.05,5871.0882299748955,0.0,5871.0882299748955,5871.0882299748955,5871.0882299748955,5871.0882299748955,5871.0882299748955,5871.0882299748955,5871.0882299748955,5871.0882299748955,5871.0882299748955,1,1059.0632912992207,0.0,1059.0632912992207,1059.0632912992207,1059.0632912992207,1059.0632912992207,1059.0632912992207,1059.0632912992207,1059.0632912992207,1059.0632912992207,1059.0632912992207,1,1293.5760653033242,0.0,1293.5760653033242,1293.5760653033242,1293.5760653033242,1293.5760653033242,1293.5760653033242,1293.5760653033242,1293.5760653033242,1293.5760653033242,1293.5760653033242,1,236.99118713887847,0.0,236.99118713887847,236.99118713887847,236.99118713887847,236.99118713887847,236.99118713887847,236.99118713887847,236.99118713887847,236.99118713887847,236.99118713887847,1,0.0,0.0,0,0.0,0.0,nan,344.37284066970915,2011.1644184386532,5339.169932300716,7694.707191409078,0.0,0.0,0.0
dist_30,stochastic,0.0,0.03333333333333333,0.3,12.0,35,0.05,4274.101804826505,1626.022774433795,4496.909868956702,1279.8074271373378,3046.791248294651,5871.0882299748955,5871.0882299748955,1279.8074271373378,724.8095667810397,-262.72383151420695,6825.1838823933695,1000,728.5934739755536,307.5032554188933,765.1396430692262,170.55427390025733,493.96247386428104,1059.0632912992207,1059.0632912992207,170.55427390025733,61.67011528504811,-124.80567994321343,1086.5395336229033,1000,889.928946658856,375.5949757495176,934.5676854448138,208.32081365213367,603.3426317373135,1293.5760653033242,1293.5760653033242,208.32081365213367,75.32598451162427,-152.44191892478148,1327.1364858432407,1000,170.285195098254,106.48398824004502,236.99118713887847,0.0,0.0,236.99118713887847,236.99118713887847,0.0,0.0,0.0,236.99118713887847,1000,0.693,1.153,6,0.3001078291327339,0.2361544086429692,14.975468975468976,328.81147773968996,1761.5364864435019,3703.693660153034,5794.041624336226,0.644,0.689,0.689
dist_20,stochastic,0.0,0.05,0.3,12.0,35,0.05,3651.157182999626,1738.0715059775985,3591.331695428952,752.4192632582528,2288.1914511545438,5453.329328332773,5871.0882299748955,752.4192632582528,428.8308302944568,-193.55541261762428,6724.902322955094,1000,603.1853551801963,330.3607209271908,595.24607568858,73.28742493907669,330.1128433134436,893.2627967659154,1059.0632912992207,73.28742493907669,-6.250361384589594,-185.8897159849849,1068.3594610967368,1000,736.7511883500221,403.51386458075746,727.0538812953046,89.51576319164343,403.2110983996404,1091.0616800859616,1293.5760653033242,89.51576319164343,-7.634404811333295,-227.05204623721636,1304.9307245081677,1000,149.96585767792115,114.19955587219411,236.99118713887847,0.0,0.0,236.99118713887847,236.99118713887847,0.0,0.0,0.0,236.99118713887847,1000,0.809,1.676,6,0.300458321691104,0.29202682987951967,13.3114956736712,317.0177845913222,1625.0246774548143,3100.7663722413854,5042.808834287521,0.775,0.808,0.808
dist_10,stochastic,0.0,0.1,0.3,12.0,35,0.05,2053.937917219423,1602.8693893185823,1845.4588980974293,-144.9151872680167,755.4962161295648,3051.702863294314,5374.1484739750895,-144.9151872680167,-219.20627348073617,-300.7999999999998,6838.5710220157935,1000,274.0719798585054,305.8526343277233,225.21403665942836,-162.29446515485196,36.76073775722339,477.1539089137734,856.4493579647591,-162.29446515485196,-185.1965666307141,-205.3321178340551,1088.9664919851073,1000,334.76087428196007,373.5788507889376,275.0841142228496,-198.2320012224895,44.90082027798386,582.8120765847509,1046.096488953461,-198.2320012224895,-226.2054099485908,-250.79965970903535,1330.1008556544004,1000,85.53812520978914,113.60889177116216,0.0,0.0,0.0,236.99118713887847,236.99118713887847,0.0,0.0,0.0,236.99118713887847,1000,0.973,3.43,11,0.3011824362321932,0.40235172647636136,9.639260020554985,294.4578800218281,1183.1426666301054,1629.8817081509023,3107.4822548028355,0.96,0.97,0.97
noise_025,stochastic,0.25,0.0,0.3,12.0,35,0.05,5214.86786696175,185.3074742656253,5215.16345087678,4916.094335651684,5093.944280306661,5330.5760764490005,5514.555923898819,4916.094335651684,4832.983945909459,4622.176983219036,5926.360361880081,1000,930.7746621285002,42.125328028528756,931.2850816220966,863.4059070513964,900.9757388999165,957.4710144504692,997.0763321405041,863.4059070513964,845.6575129716744,805.9886198526633,1093.9679236986321,1000,1136.8799532680982,51.45331400723639,1137.503397065655,1054.593455536584,1100.4825309638854,1169.4877895308762,1217.8630768658884,1054.593455536584,1032.914960995493,984.462020460771,1336.20977512127,1000,221.8062204483412,21.150376549480875,221.0952081131467,187.99071664555453,207.42921917024495,235.63673413459267,257.7351631786914,187.99071664555453,180.78485156296955,154.0960940355236,289.3842721783934,1000,0.0,0.0,0,0.0,0.0,nan,487.4955200629127,2518.1762290919455,4100.875785774335,7106.547534929194,0.999,0.996,0.996
n025_d30,stochastic,0.25,0.03333333333333333,0.3,12.0,35,0.05,3779.1523145714045,1489.7902294669248,3945.128846637808,1243.8092271402254,2571.994666150902,5160.903826557497,5561.265957888091,1243.8092271402254,670.0233514863435,-273.0308355007994,6597.194282439156,1000,634.053528433202,282.0933521412759,661.6123458602947,128.1052769432026,411.56779830531696,906.6530330126714,975.1507928499212,128.1052769432026,32.54156696655859,-200.29783807799245,1045.207233989784,1000,774.4546291431964,344.55845227482035,808.1159097339132,156.47215936404407,502.7029616749552,1107.4169718422374,1191.082474537229,156.47215936404407,39.74738101229519,-244.65061852142628,1276.6518037958083,1000,162.44954211121157,100.43528015369425,211.61682771301125,0.0,0.0,230.92477831344684,253.57105018197592,0.0,0.0,0.0,285.6126890746061,1000,0.691,1.136,6,0.29391577974329486,0.22960418324408988,15.021707670043416,477.6426308070202,2181.794721004322,2723.7595138888555,5383.196865700197,0.975,1.0,1.0
n025_d20,stochastic,0.25,0.05,0.3,12.0,35,0.05,3150.918085928373,1599.8616037732838,3113.032033946374,557.9481422405937,1893.449871660083,4592.972805912241,5489.010591297108,557.9481422405937,244.42310570276538,-240.13444020974418,6699.768785899194,1000,500.7164915104873,301.0178232159027,497.1035199084879,9.636238991690586,267.0724448271565,750.0497727583556,952.9209398983406,9.636238991690586,-47.633345213259474,-179.73366303567155,1063.8029949919533,1000,611.5922195037355,367.6734474141862,607.1792126255218,11.770031330140535,326.2114031982278,916.1364026092745,1163.9301731123537,11.770031330140535,-58.180994265803655,-219.53283296885488,1299.365301228995,1000,130.77686811106858,111.38238019990945,200.73661592797023,0.0,0.0,226.90696165851958,253.41585278825457,0.0,0.0,0.0,297.647804436568,1000,0.85,1.74,9,0.29878379878020406,0.30545568452213573,12.81764705882353,475.60545954127326,2003.1456821732245,2146.972746198305,4625.723887912803,0.985,0.999,0.999
n025_d10,stochastic,0.25,0.1,0.3,12.0,35,0.05,1775.4499477542531,1526.2197195400322,1466.8705800154921,-162.91701660122732,553.4447235945541,2706.387762235358,5033.9657674101045,-162.91701660122732,-243.30281702510314,-300.79999172760756,6287.571543575953,1000,220.53952288307326,292.4806738189431,157.83408218122437,-165.43082058592648,-6.355312320203474,392.87401268456773,807.3913139256571,-165.43082058592648,-188.99423421771644,-205.3321163343508,1001.236998369975,1000,269.37450348692704,357.2458816430434,192.78393716043246,-202.06285283565884,-7.762595467601587,479.86973362562185,986.1753188959776,-202.06285283565884,-230.84401080926065,-250.79965787724527,1222.9450566629191,1000,80.57766295185958,106.8657321715965,0.0,0.0,0.0,210.08778747799198,244.2919770035138,0.0,0.0,0.0,284.4684547195509,1000,0.967,3.419,10,0.30026074532601793,0.3982472970203487,9.191313340227508,429.7189675239262,1393.596240592707,1082.880293629732,2906.1955017463656,0.993,1.0,1.0
noise_050,stochastic,0.5,0.0,0.3,12.0,35,0.05,5241.68646858546,262.387231024457,5225.911428385851,4838.095539545402,5067.631909166301,5389.483102116163,5677.203060361943,4838.095539545402,4762.963134650513,4573.43989359119,6427.096499521675,1000,933.0307969585726,59.331998443884906,932.0462132921272,837.6790124403366,893.7989071331681,970.6395213652336,1032.3170207154556,837.6790124403366,820.6167335972476,781.1289675136951,1163.5440693884905,1000,1139.635673384408,72.47012876772351,1138.4330692759795,1023.1697480236725,1091.716503593807,1185.5722535101945,1260.907257171148,1023.1697480236725,1002.3292980597475,954.0975922706475,1421.1924551177096,1000,217.56161895779206,48.72629518042092,219.17038139882695,157.84314574129388,194.03816648828945,246.58357954052252,284.5008230201953,157.84314574129388,87.73205112098259,0.0,363.69784448498933,1000,0.0,0.0,0,0.0,0.0,nan,491.7716102077749,2535.176212439496,4116.144691440454,7143.092514087725,0.978,0.976,0.976
n050_d30,stochastic,0.5,0.03333333333333333,0.3,12.0,35,0.05,3733.6008148440233,1542.7421194390015,3900.1427027879968,944.22996799186,2577.991783418633,5124.318077655908,5656.5946266761375,944.22996799186,545.7126220400474,32.006164669018005,6830.649332742636,1000,618.9699443258988,291.67658791214444,648.8126522587851,94.9085567796394,390.7964652973782,893.4033584150483,996.3333209676496,94.9085567796394,18.83266159485622,-133.1749638742635,1096.104580692758,1000,756.0310244913339,356.2637436612742,792.4819269283937,115.92455186697245,477.3321463098487,1091.233366883636,1216.955537649532,115.92455186697245,23.002855905974567,-162.6644480841604,1338.81956092923,1000,151.3314571307652,109.86932899378664,198.88864042627733,0.0,0.0,235.44278542447663,278.4035765565233,0.0,0.0,0.0,350.2628766468448,1000,0.711,1.206,5,0.29812485240355496,0.2400328630449578,14.520393811533053,486.25848351107226,2186.4589767286966,2664.054387062549,5336.771847302317,0.97,0.992,0.992
