scenario_name,mean,std,median,p5,p95,cvar_5,downside_prob_vs_deterministic,n
deterministic,5871.0882299748955,0.0,5871.0882299748955,5871.0882299748955,5871.0882299748955,5871.0882299748955,0.0,1
dist_30,4274.101804826505,1626.022774433795,4496.909868956702,1279.8074271373378,5871.0882299748955,724.8095667810397,0.644,1000
dist_20,3651.157182999626,1738.0715059775985,3591.331695428952,752.4192632582528,5871.0882299748955,428.8308302944568,0.775,1000
dist_10,2053.937917219423,1602.8693893185823,1845.4588980974293,-144.9151872680167,5374.1484739750895,-219.20627348073617,0.96,1000
noise_025,5214.86786696175,185.3074742656253,5215.16345087678,4916.094335651684,5514.555923898819,4832.983945909459,0.999,1000
n025_d30,3779.1523145714045,1489.7902294669248,3945.128846637808,1243.8092271402254,5561.265957888091,670.0233514863435,0.975,1000
n025_d20,3150.918085928373,1599.8616037732838,3113.032033946374,557.9481422405937,5489.010591297108,244.42310570276538,0.985,1000
n025_d10,1775.4499477542531,1526.2197195400322,1466.8705800154921,-162.91701660122732,5033.9657674101045,-243.30281702510314,0.993,1000
noise_050,5241.68646858546,262.387231024457,5225.911428385851,4838.095539545402,5677.203060361943,4762.963134650513,0.978,1000
n050_d30,3733.6008148440233,1542.7421194390015,3900.1427027879968,944.22996799186,5656.5946266761375,545.7126220400474,0.97,1000
n050_d20,3177.5838480321086,1634.3037463290027,3100.442041579695,422.53618514462795,5528.689785677245,81.90649083784984,0.981,1000
n050_d10,1688.5552900806824,1470.5835794105867,1450.1177499074786,-187.89436340023036,4668.327854978354,-241.1419898157079,0.994,1000
noise_100,5396.871128286239,408.7577050045209,5364.276158000273,4785.581339855225,6125.12067543439,4658.289654691556,0.866,1000
n100_d30,3825.581087272838,1564.7993006404565,3945.87712680745,1077.82360787175,5971.99832899654,626.3686898632608,0.932,1000
n100_d20,3130.619820751992,1685.941397864351,3044.9174591763217,386.8444769539462,5856.340405411449,129.74695601295937,0.955,1000
n100_d10,1710.2228931736197,1550.7202250057776,1424.261357985036,-190.04838454320645,4847.842112775783,-240.51936220938975,0.991,1000
