,LLN,MLN,HLN,LMN,MMN,HMN,LHN,MHN,HHN,LLD,MLD,HLD,LMD,MMD,HMD,LHD,MHD,HHD
LLN,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
MLN,0.0,0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.076,0.0,0.0
HLN,0.0,0.678,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.066,0.0,0.0
LMN,0.0,0.0,0.0,0.852,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.081,0.0,0.0
MMN,0.0,0.0,0.0,0.0,0.786,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.002,0.091,0.0,0.0
HMN,0.0,0.0,0.0,0.0,0.006,0.872,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.034,0.079,0.0,0.0
LHN,0.0,0.0,0.0,0.0,0.0,0.0,0.881,0.003,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.115,0.0,0.0
MHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846,0.042,0.0,0.0,0.0,0.0,0.022,0.0,0.07,0.02,0.0
HHN,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.007,0.86,0.0,0.0,0.0,0.0,0.004,0.043,0.073,0.0,0.0
LLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0
MLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925,0.0,0.0,0.0,0.0,0.075,0.0,0.0
HLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706,0.209,0.0,0.0,0.0,0.085,0.0,0.0
LMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.92,0.013,0.0,0.066,0.0,0.0
MMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.831,0.081,0.087,0.0,0.0
HMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.0,0.01,0.904,0.079,0.0,0.0
LHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.993,0.005,0.0
MHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.08,0.846,0.046
HHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.059,0.071,0.009,0.856
