,LLN,MLN,HLN,LMN,MMN,HMN,LHN,MHN,HHN,LLD,MLD,HLD,LMD,MMD,HMD,LHD,MHD,HHD
LLN,0.734,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.0
MLN,0.039,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.081,0.0,0.0,0.0,0.0,0.147,0.0,0.0
HLN,0.0,0.633,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.077,0.0,0.0,0.0,0.0,0.149,0.0,0.0
LMN,0.0,0.0,0.0,0.677,0.097,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.072,0.004,0.0,0.146,0.0,0.0
MMN,0.0,0.0,0.0,0.01,0.562,0.174,0.0,0.0,0.0,0.001,0.036,0.001,0.002,0.052,0.001,0.161,0.0,0.0
HMN,0.0,0.0,0.0,0.0,0.113,0.65,0.0,0.0,0.0,0.0,0.034,0.04,0.0,0.007,0.004,0.152,0.0,0.0
LHN,0.0,0.0,0.0,0.0,0.0,0.0,0.705,0.063,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.197,0.002,0.0
MHN,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.589,0.141,0.0,0.0,0.0,0.007,0.079,0.005,0.165,0.0,0.0
HHN,0.0,0.0,0.0,0.0,0.001,0.015,0.0,0.133,0.628,0.0,0.0,0.0,0.0,0.036,0.055,0.132,0.0,0.0
LLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.001,0.0,0.0,0.0,0.0,0.152,0.0,0.0
MLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.78,0.0,0.0,0.0,0.0,0.164,0.0,0.0
HLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.653,0.173,0.0,0.0,0.0,0.172,0.0,0.0
LMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.745,0.113,0.0,0.137,0.0,0.0
MMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.017,0.639,0.14,0.175,0.0,0.0
HMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.046,0.0,0.125,0.638,0.153,0.0,0.0
LHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.002,0.0,0.903,0.062,0.0
MHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.069,0.004,0.161,0.603,0.156
HHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.053,0.168,0.135,0.615
