i,pr,cc,th,tr
1,1,0,0,3
2,1,0,0,3
3,1,0,0,3
4,1,0,0,3
5,1,0,0,3
6,1,0.180958702,0,3
7,1,2.895339239,0,3
8,1,9.590811231,0,3
9,1,19.06529187,0,3
10,1,30.06499585,0,3
11,1,41.65927843,0,3
12,1,52.91749485,0,3
13,1,63.02533094,0,3
14,1,71.50453872,0,3
15,1,49.16906458,31.07319434,3
16,1,52.83994112,0,3
17,1,55.08899928,0,3
18,1,56.26523085,0,3
19,1,56.64007387,0,3
20,1,56.45911517,0,3
21,1,55.89038782,0,3
22,1,55.06314804,0,3
23,1,54.06787517,0,3
24,1,52.95627171,0,3
25,1,51.79296577,0,3
26,1,50.59088296,0,3
27,1,49.37587453,0,3
28,1,48.1608661,0,3
29,1,46.97170891,0,3
30,1,45.79547735,0,3
31,1,44.65802264,0,3
32,1,43.53349356,0,3
33,1,42.44774135,0,3
34,1,41.400766,0,3
35,1,40.37964189,0,3
36,1,39.39729465,0,3
37,1,38.44079865,0,3
38,1,37.52307952,0,3
39,1,36.63121163,0,3
40,1,35.76519498,0,3
41,1,34.9379552,0,3
42,1,34.13656666,0,3
43,1,33.37395498,0,3
44,1,32.62426893,0,3
45,1,31.91335974,0,3
46,1,31.21537618,0,3
47,1,30.55616947,0,3
48,1,29.90988839,0,3
49,1,29.28945856,0,3
50,1,28.69487996,0,3
1,2,0,0,3
2,2,0,0,3
3,2,0,0,3
4,2,0,0,3
5,2,0,0,3
6,2,0,0,3
7,2,0,0,3
8,2,0,0,3
9,2,0,0,3
10,2,0.012925622,0,3
11,2,0.219735567,0,3
12,2,1.059900972,0,3
13,2,3.050446699,0,3
14,2,6.501587667,0,3
15,2,8.220695341,0,3
16,2,14.29573749,0,3
17,2,21.72796992,0,3
18,2,30.0908471,0,3
19,2,39.02245162,0,3
20,2,48.19964296,0,3
21,2,57.32513182,0,3
22,2,66.16625699,0,3
23,2,74.52913417,0,3
24,2,82.27158151,0,3
25,2,89.30311967,0,3
26,2,95.59789739,0,3
27,2,101.1429891,0,3
28,2,105.9383947,0,3
29,2,110.0358167,0,3
30,2,113.4740321,0,3
31,2,116.3176688,0,3
32,2,118.5925782,0,3
33,2,120.376314,0,3
34,2,121.707653,0,3
35,2,122.6512234,0,3
36,2,123.245802,0,3
37,2,123.5301657,0,3
38,2,123.5430913,0,3
39,2,123.3233557,0,3
40,2,122.8968102,0,3
41,2,122.289306,0,3
42,2,121.5396199,0,3
43,2,120.6736033,0,3
44,2,119.6912561,0,3
45,2,118.6184295,0,3
46,2,117.4680491,0,3
47,2,116.2659663,0,3
48,2,115.012181,0,3
49,2,113.7196189,0,3
50,2,112.4141311,0,3
1,3,0,0,3
2,3,0,0,3
3,3,0,0,3
4,3,0,0,3
5,3,0,0,3
6,3,0,0,3
7,3,0,0,3
8,3,0,0,3
9,3,0,0,3
10,3,0,0,3
11,3,0,0,3
12,3,0,0,3
13,3,0,0,3
14,3,0,0,3
15,3,0,0,3
16,3,0,0,3
17,3,0,0,3
18,3,0.025851243,0,3
19,3,0.090479351,0,3
20,3,0.271438054,0,3
21,3,0.672132323,0,3
22,3,1.37011589,0,3
23,3,2.481719348,0,3
24,3,4.045719562,0,3
25,3,6.126744641,0,3
26,3,8.724794583,0,3
27,3,11.83986939,0,3
28,3,15.4331922,0,3
29,3,19.47891176,0,3
30,3,23.92532559,0,3
31,3,28.70780558,0,3
32,3,33.8005005,0,3
33,3,39.13878222,0,3
34,3,44.69679951,0,3
35,3,50.40992426,0,3
36,3,56.2393796,0,3
37,3,62.17223992,0,3
38,3,68.15680272,0,3
39,3,74.18014239,0,3
40,3,80.21640768,0,3
41,3,86.23974735,0,3
42,3,92.23723577,0,3
43,3,98.18302171,0,3
44,3,104.0771052,0,3
45,3,109.9065605,0,3
46,3,115.6584621,0,3
47,3,121.33281,0,3
48,3,126.9037529,0,3
49,3,132.3971421,0,3
50,3,137.7742007,0,3
