"A","N","H","G","V","DW","Dq","Vpulp","Vchns","Vsaw","Gpulp","Gchns","Gsaw","Remove.Plp","Remove.ChnS","Remove.Saw"
5,850,23.9068517886253,50.9936276490392,385.059787401717,2.56271567671208,3.31658341428582,108.129254467368,2.84071166227267e-21,2.57853423617042e-75,2.34843224546316,6.16967064149844e-23,5.60025404418262e-77,0,0,0
6,837.615039477506,27.6079080299864,67.2274938542425,640.117812750231,4.88495376655801,3.83613304298106,350.648321397461,2.65619885665823e-08,7.43031702099651e-32,7.61564323035111,5.7689318918046e-10,1.61377197799768e-33,0,0,0
7,825.580599134957,31.1529364081188,82.2305126422427,929.81126836668,7.86424613912763,4.27345556690193,655.465912708241,0.00161162485209254,3.03334973856089e-16,14.2359002916321,3.50024772563849e-05,6.58805646343693e-18,0,0,0
8,813.860708900302,34.5631555697516,96.0290980208204,1241.75478148381,11.3855755498323,4.65124072321441,986.450752348225,0.282591092052057,3.96802142994181e-09,21.424477277563,0.00613752528050561,8.61804654315488e-11,0,0,0
9,802.427913848211,37.8542563372342,108.741593793397,1567.71359325499,15.3465520469681,4.98467980447094,1325.83951634584,4.82699751157698,2.45293514147799e-05,28.7955769956362,0.104836352204563,5.3274685103975e-07,0,0,0
10,791.2604247729,41.0383317766352,120.500150679602,1902.24373994303,19.6627505130613,5.2841666498997,1653.38828398797,27.5086776780991,0.00437677258090429,35.9095267928638,0.597454093321216,9.5058029491515e-05,0,0,0
11,780.340423813988,44.1250039775057,131.425966529495,2241.70803844437,24.2663951974035,5.55700733972386,1946.37807643521,87.4527290794506,0.122751025879794,42.2728988475772,1.89936395969432,0.00266599884332678,0,0,0
12,769.652991956433,47.122125425143,141.623245426888,2583.63588215086,29.1034122603648,5.80847632329067,2188.54475284846,197.957480393431,1.19713287860076,47.5324563509275,4.29938902729483,0.0260002297071102,0,0,0
13,759.185396075691,50.0362380694085,151.179500134484,2926.31801009178,34.1305230441468,6.0424764029585,2372.11713647763,362.522877878034,6.11741759997777,51.5194190578736,7.87354375391354,0.132862663499517,0,0,0
14,748.926595888468,52.8728862217803,160.16773005219,3268.55007236143,39.3128272005457,6.26196039866943,2494.30720954616,577.300445926542,20.5838613964723,54.1732347073306,12.5382440599671,0.447055739704632,0,0,0
15,738.86689168312,55.636837067404,168.648885156663,3609.46862411592,44.6219135550487,6.46920729048577,2554.30367440343,834.829189894683,52.2158662240519,55.4762829284494,18.1314464680251,1.13406334455363,0,0,0
16,728.99766564886,58.3322404888741,176.674093021215,3948.44464455848,50.0344187282358,6.66600752550359,2552.39566359133,1126.72231589313,108.646106859103,55.4348433186242,24.471000298304,2.35965763334614,0,0,0
17,719.311187451741,60.9627477048465,184.286519946259,4285.0132455308,55.5309357163702,6.85379026308179,2490.14313604537,1445.09638224631,195.861514382595,54.0827962359854,31.3856870519121,4.25386726549699,0,0,0
